iter	Passed	Remaining
0	127	127013
1	129	64557
2	131	43664
3	133	33203
4	136	27185
5	139	23092
6	141	20096
7	144	17873
8	146	16114
9	149	14793
10	151	13630
11	153	12632
12	155	11806
13	157	11095
14	159	10461
15	161	9929
16	163	9470
17	165	9046
18	167	8656
19	169	8316
20	171	8004
21	173	7726
22	176	7488
23	178	7266
24	180	7036
25	182	6824
26	184	6635
27	185	6452
28	187	6293
29	189	6140
30	192	6018
31	194	5883
32	196	5758
33	198	5634
34	200	5515
35	202	5411
36	204	5316
37	206	5238
38	208	5144
39	210	5052
40	212	4965
41	214	4885
42	216	4819
43	218	4749
44	221	4695
45	223	4629
46	224	4562
47	226	4498
48	228	4436
49	231	4392
50	233	4340
51	235	4301
52	238	4252
53	240	4206
54	242	4158
55	244	4118
56	246	4074
57	248	4036
58	250	3998
59	252	3956
60	254	3917
61	256	3883
62	258	3852
63	261	3820
64	263	3788
65	265	3757
66	267	3720
67	268	3684
68	270	3649
69	272	3615
70	273	3578
71	274	3542
72	276	3508
73	278	3480
74	279	3452
75	281	3421
76	282	3390
77	284	3361
78	285	3329
79	286	3298
80	288	3269
81	289	3241
82	290	3207
83	291	3179
84	293	3158
85	294	3130
86	295	3102
87	296	3075
88	297	3047
89	298	3020
90	299	2993
91	300	2966
92	301	2941
93	302	2916
94	303	2890
95	304	2865
96	305	2840
97	305	2816
98	308	2811
99	310	2794
100	311	2774
101	312	2754
102	314	2734
103	315	2718
104	316	2699
105	317	2681
106	319	2663
107	320	2646
108	322	2637
109	324	2628
110	326	2615
111	327	2600
112	329	2583
113	330	2567
114	331	2553
115	333	2540
116	334	2525
117	336	2514
118	338	2505
119	340	2494
120	341	2482
121	342	2467
122	344	2456
123	345	2444
124	347	2431
125	348	2419
126	349	2405
127	351	2395
128	353	2389
129	355	2377
130	356	2365
131	358	2356
132	359	2345
133	361	2334
134	362	2325
135	364	2314
136	366	2308
137	368	2300
138	369	2288
139	370	2277
140	372	2266
141	372	2252
142	373	2240
143	374	2228
144	375	2216
145	377	2207
146	378	2195
147	379	2185
148	381	2177
149	382	2168
150	383	2157
151	384	2146
152	385	2135
153	386	2124
154	387	2112
155	388	2100
156	389	2090
157	390	2079
158	391	2069
159	392	2058
160	392	2045
161	393	2034
162	394	2023
163	395	2014
164	396	2009
165	397	1999
166	398	1989
167	399	1979
168	400	1969
169	401	1959
170	402	1949
171	402	1939
172	403	1929
173	404	1919
174	405	1910
175	405	1900
176	406	1891
177	407	1882
178	408	1874
179	410	1869
180	411	1861
181	412	1853
182	413	1844
183	414	1836
184	414	1827
185	415	1818
186	416	1810
187	417	1801
188	418	1794
189	419	1786
190	419	1778
191	420	1770
192	421	1762
193	422	1755
194	423	1747
195	424	1743
196	425	1736
197	426	1728
198	427	1721
199	428	1713
200	429	1706
201	430	1700
202	431	1693
203	432	1686
204	432	1679
205	433	1671
206	434	1663
207	435	1656
208	435	1649
209	436	1643
210	438	1638
211	439	1634
212	440	1628
213	441	1622
214	443	1617
215	443	1611
216	444	1604
217	445	1598
218	446	1591
219	446	1584
220	447	1577
221	448	1571
222	449	1564
